p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
0	8.51861386632618	0.657	0.008	0	g.TRINITY-GG-234-c97-g1-i22	Gast
1.7415675382041e-266	8.29673081236901	0.108	0	4.88666435544687e-262	g.TRINITY-GG-173-c808-g5-i1	Gast
0	8.15668126956579	0.677	0.007	0	g.TRINITY-GG-225-c53-g1-i2	Gast
0	7.86298149875957	0.434	0.006	0	g.TRINITY-GG-227-c1341-g1-i1	Gast
3.39026105831287e-194	7.69567994250748	0.126	0.005	9.51273350352009e-190	g.TRINITY-GG-94-c203-g1-i3	Gast
0	7.64898737486678	0.308	0.002	0	g.TRINITY-GG-238-c1035-g1-i9	Gast
3.55952064874555e-317	7.54423241556146	0.16	0.003	9.98765898831515e-313	g.TRINITY-GG-173-c1899-g1-i13	Gast
0	7.53504671445855	0.845	0.031	0	g.TRINITY-GG-207-c43-g1-i1	Gast
0	7.50490935698848	0.439	0.006	0	g.TRINITY-GG-225-c47-g1-i39	Gast
0	7.48352659662959	0.714	0.013	0	g.TRINITY-GG-150-c318-g1-i7	Gast
0	7.48082935023927	0.537	0.009	0	g.TRINITY-GG-176-c70-g1-i8	Gast
0	7.44790525123083	0.568	0.01	0	g.TRINITY-GG-173-c714-g1-i5	Gast
0	7.42586003671482	0.645	0.01	0	g.TRINITY-GG-238-c724-g1-i1	Gast
7.19725700085894e-285	7.34584027221421	0.117	0.001	2.01947834187101e-280	g.TRINITY-GG-24-c931-g1-i14	Gast
0	7.3372424615188	0.307	0.003	0	g.TRINITY-GG-77-c5-g1-i4	Gast
2.76117774814062e-226	7.27213450665511	0.102	0.001	7.74758864350776e-222	g.TRINITY-GG-170-c42-g1-i3	Gast
0	7.17915981635423	0.338	0.004	0	g.TRINITY-GG-24-c1-g1-i6	Gast
0	7.16012701381262	0.261	0.003	0	g.TRINITY-GG-150-c134-g1-i10	Gast
0	7.07768403161938	0.305	0.003	0	g.TRINITY-GG-77-c8-g1-i4	Gast
2.18170443337677e-169	7.03133910642587	0.105	0.003	6.12164446961188e-165	g.TRINITY-GG-173-c256-g1-i2	Gast
0	6.87840530539121	0.689	0.024	0	g.TRINITY-GG-127-c1241-g1-i2	Gast
0	6.86586799992802	0.233	0.004	0	g.TRINITY-GG-173-c495-g3-i1	Gast
0	6.78349081127237	0.254	0.005	0	g.TRINITY-GG-173-c79-g1-i2	Gast
0	6.73215961418333	0.236	0.003	0	g.TRINITY-GG-238-c158-g1-i5	Gast
0	6.5753166122099	0.314	0.006	0	g.TRINITY-GG-133-c310-g2-i10	Gast
7.37041539155433e-310	6.55621540095762	0.188	0.006	2.06806485471623e-305	g.TRINITY-GG-207-c125-g1-i12	Gast
0	6.54914255942292	0.503	0.021	0	g.TRINITY-GG-77-c5-g2-i1	Gast
0	6.45822323524868	0.349	0.008	0	g.TRINITY-GG-127-c3038-g1-i2	Gast
2.065404837428e-114	6.42882954851978	0.12	0.01	5.79531943333922e-110	g.TRINITY-GG-173-c2408-g2-i1	Gast
0	6.4175955387882	0.18	0.002	0	g.TRINITY-GG-24-c119-g1-i12	Gast
0	6.36832415284348	0.717	0.06	0	g.TRINITY-GG-130-c17-g1-i5	Gast
0	6.24485319817981	0.18	0.003	0	g.TRINITY-GG-150-c294-g1-i1	Gast
0	6.18613553990998	0.612	0.022	0	g.TRINITY-GG-130-c17-g3-i1	Gast
0	6.124334966405	0.188	0.003	0	g.TRINITY-GG-56-c35-g1-i10	Gast
0	6.04590232566462	0.203	0.004	0	g.TRINITY-GG-130-c1552-g1-i4	Gast
3.17190210519621e-275	6.03370652741696	0.141	0.003	8.90004011697005e-271	g.TRINITY-GG-238-c158-g3-i2	Gast
0	5.95914561376962	0.555	0.021	0	g.TRINITY-GG-238-c143-g4-i1	Gast
0	5.85619228429926	0.501	0.014	0	g.TRINITY-GG-24-c5437-g1-i1	Gast
5.70670182211473e-294	5.7460812469392	0.16	0.004	1.60124346426717e-289	g.TRINITY-GG-227-c5057-g1-i2	Gast
1.7217558140071e-314	5.52926635141055	0.188	0.006	4.83107463852252e-310	g.TRINITY-GG-225-c26-g1-i5	Gast
4.60734230560039e-186	5.46322030099246	0.108	0.003	1.29277417752841e-181	g.TRINITY-GG-94-c1857-g1-i2	Gast
3.09643277834567e-254	5.4452974648507	0.13	0.002	8.68828073276012e-250	g.TRINITY-GG-238-c305-g1-i1	Gast
4.77953954552977e-266	5.26378901367699	0.166	0.006	1.3410910010802e-261	g.TRINITY-GG-133-c1021-g2-i1	Gast
0	5.2558812566158	0.329	0.011	0	g.TRINITY-GG-94-c667-g1-i10	Gast
4.58536060214733e-258	5.21543815941259	0.162	0.005	1.28660633135652e-253	g.TRINITY-GG-176-c174-g2-i1	Gast
7.08383305029368e-268	5.19959453291484	0.166	0.005	1.9876527155819e-263	g.TRINITY-GG-176-c484-g1-i7	Gast
0	5.18607954903616	0.287	0.018	0	g.TRINITY-GG-71-c743-g3-i4	Gast
3.95252516672997e-323	5.16104984097615	0.243	0.012	1.10903903653276e-318	g.TRINITY-GG-94-c3035-g1-i2	Gast
3.92435764895247e-208	5.15148994090094	0.124	0.004	1.10113551271957e-203	g.TRINITY-GG-238-c1169-g2-i2	Gast
0	5.10422954903141	0.685	0.038	0	g.TRINITY-GG-133-c79-g1-i1	Gast
0	5.02559604816836	0.239	0.01	0	g.TRINITY-GG-176-c68-g2-i23	Gast
2.36952319237811e-257	4.97736951475339	0.177	0.007	6.64864512549374e-253	g.TRINITY-GG-127-c377-g1-i4	Gast
2.40032362001315e-273	4.77325709217421	0.167	0.005	6.73506804539491e-269	g.TRINITY-GG-234-c92-g6-i1	Gast
1.85028653492572e-151	4.73108863873824	0.109	0.005	5.19171898834809e-147	g.TRINITY-GG-133-c394-g1-i4	Gast
0	4.7113442593906	0.242	0.009	0	g.TRINITY-GG-225-c373-g1-i6	Gast
0	4.50436593826132	0.431	0.032	0	g.TRINITY-GG-176-c1262-g1-i13	Gast
3.65390156162374e-115	4.48288822276957	0.123	0.011	1.025248239176e-110	g.TRINITY-GG-130-c106-g3-i2	Gast
0	4.23104166578063	0.635	0.061	0	g.TRINITY-GG-133-c143-g1-i4	Gast
2.26422721772078e-194	4.1965071864213	0.145	0.007	6.35319515020272e-190	g.TRINITY-GG-127-c732-g2-i1	Gast
2.40558556515324e-213	4.15810542013275	0.195	0.013	6.74983253726347e-209	g.TRINITY-GG-6-c3205-g3-i2	Gast
4.74521978541603e-287	4.12585232948724	0.283	0.022	1.33146121958988e-282	g.TRINITY-GG-176-c147-g1-i4	Gast
4.04139288830551e-182	4.12039213205936	0.159	0.01	1.13397443052964e-177	g.TRINITY-GG-71-c243-g1-i5	Gast
1.46092400643303e-177	4.07022112266553	0.232	0.026	4.09920666965045e-173	g.TRINITY-GG-238-c1137-g4-i1	Gast
3.05958136369318e-111	3.92009054839425	0.104	0.007	8.5848793483867e-107	g.TRINITY-GG-127-c2266-g1-i2	Gast
1.43389517126252e-286	3.89351292475364	0.312	0.028	4.02336646104551e-282	g.TRINITY-GG-207-c1007-g1-i4	Gast
0	3.86138699088608	0.489	0.056	0	g.TRINITY-GG-173-c56-g1-i21	Gast
0	3.85219147157972	0.419	0.038	0	g.TRINITY-GG-71-c387-g1-i13	Gast
3.09085259860077e-155	3.84881653572587	0.126	0.007	8.6726233064139e-151	g.TRINITY-GG-150-c143-g1-i1	Gast
