p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
0	10.9626605868388	0.119	0	0	Spis-XP-022807637-1	Spis
0	9.97903157175171	0.118	0	0	Spis-XP-022787873-1	Spis
0	9.08169132778943	0.762	0.003	0	Spis-XP-022803870-1	Spis
0	8.9971737815039	0.202	0.001	0	Spis-XP-022787580-1	Spis
0	8.99422614998178	0.157	0	0	Spis-XP-022798857-1	Spis
0	8.84065518082233	0.24	0	0	Spis-XP-022794537-1	Spis
0	8.79906772071906	0.143	0	0	Spis-XP-022807631-1	Spis
0	8.76972232610811	0.242	0.001	0	Spis-XP-022803070-1	Spis
0	8.72803443905544	0.124	0	0	Spis-XP-022785275-1	Spis
0	8.66916388295588	0.18	0	0	Spis-XP-022794906-1	Spis
2.96439387504748e-323	8.66911843332068	0.113	0	1.47481559677487e-318	Spis-XP-022800083-1	Spis
4.25958696562031e-317	8.64421861119255	0.107	0	2.11918711126576e-312	Spis-XP-022780112-1	Spis
0	8.58420259464929	0.273	0.001	0	Spis-XP-022792672-1	Spis
0	8.49743302219861	0.455	0.002	0	Spis-XP-022783323-1	Spis
0	8.49345305070904	0.191	0.001	0	Spis-orphan-peak-14671	Spis
0	8.43202236997205	0.119	0	0	Spis-XP-022807443-1	Spis
0	8.41454026487555	0.657	0.004	0	Spis-XP-022806382-1	Spis
0	8.39823322326109	0.272	0.001	0	Spis-LOC111321367	Spis
0	8.37863655063638	0.679	0.003	0	Spis-XP-022783415-1	Spis
0	8.3748684025775	0.256	0.004	0	Spis-XP-022796886-1	Spis
0	8.37194291695691	0.258	0.001	0	Spis-XP-022783445-1	Spis
0	8.35495433057757	0.165	0.002	0	Spis-XP-022794122-1	Spis
0	8.35226389705378	0.135	0	0	Spis-XP-022807097-1	Spis
0	8.29800342418127	0.114	0	0	Spis-XP-022779602-1	Spis
0	8.24946069585007	0.126	0.001	0	Spis-XP-022803862-1	Spis
0	8.23653306330522	0.509	0.002	0	Spis-XP-022801136-1	Spis
0	8.22069771005631	0.598	0.006	0	Spis-XP-022799082-1	Spis
0	8.22027125361905	0.31	0.001	0	Spis-XP-022804316-1	Spis
0	8.16109495019383	0.251	0.001	0	Spis-XP-022783073-1	Spis
0	8.09740057323992	0.114	0	0	Spis-XP-022799346-1	Spis
0	8.07211172306949	0.428	0.002	0	Spis-XP-022784982-1	Spis
0	8.01883080299353	0.424	0.003	0	Spis-XP-022807096-1	Spis
0	7.99580177477416	0.199	0.001	0	Spis-XP-022801333-1	Spis
0	7.95132350520519	0.122	0	0	Spis-XP-022783952-1	Spis
0	7.93960786371715	0.273	0.001	0	Spis-Spis8682-1	Spis
0	7.88242449929551	0.137	0.001	0	Spis-XP-022804954-1	Spis
0	7.85104641118815	0.343	0.021	0	Spis-XP-022782036-1	Spis
0	7.7549697582286	0.129	0	0	Spis-XP-022788307-1	Spis
0	7.70404769450328	0.172	0.001	0	Spis-Spis10031-1	Spis
0	7.68695169404989	0.203	0.002	0	Spis-XP-022782000-1	Spis
2.02525153254491e-304	7.61529551360482	0.11	0.001	1.00758288995642e-299	Spis-XP-022799897-1	Spis
0	7.60960206209144	0.186	0.001	0	Spis-XP-022782398-1	Spis
0	7.54329342363249	0.172	0.001	0	Spis-Spis18492-1	Spis
3.76280395872693e-319	7.53136211904935	0.134	0.002	1.87203259750624e-314	Spis-XP-022796982-1	Spis
0	7.52712895523751	0.165	0.001	0	Spis-XP-022803833-1	Spis
1.38338380835549e-322	7.5102270468981	0.111	0	6.8824727849494e-318	Spis-XP-022805547-1	Spis
0	7.41331364726493	0.464	0.003	0	Spis-XP-022788808-1	Spis
0	7.40878257433172	0.2	0.001	0	Spis-XP-022799917-1	Spis
