p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
0	9.20468644764084	0.105	0	0	Amil-orphan-3784	Amil
0	9.03352547943432	0.769	0.003	0	Amil-Amillepora14840	Amil
0	8.97778171027439	0.137	0	0	Amil-Amillepora24786	Amil
0	8.68779937427398	0.134	0.001	0	Amil-Amillepora04049	Amil
0	8.58702860792362	0.396	0.001	0	Amil-Amillepora16858	Amil
0	8.56565284597432	0.152	0	0	Amil-Amillepora26777	Amil
0	8.48648494501415	0.288	0.001	0	Amil-Amillepora19316	Amil
0	8.44996694421991	0.166	0	0	Amil-Amillepora10107	Amil
0	8.44683375947763	0.155	0	0	Amil-Amillepora13012	Amil
0	8.31895867007213	0.291	0.001	0	Amil-Amillepora16861	Amil
0	8.27388604046159	0.348	0.001	0	Amil-Amillepora17010	Amil
0	8.21713290359332	0.147	0	0	Amil-orphan-8396	Amil
7.89089530144443e-220	8.21376678994467	0.146	0.018	3.42890964428966e-215	Amil-Amillepora34298	Amil
0	8.21349795732625	0.969	0.029	0	Amil-Amillepora19313	Amil
0	8.18870252729879	0.958	0.014	0	Amil-Amillepora10110	Amil
0	8.18675576056688	0.486	0.002	0	Amil-orphan-500	Amil
0	8.17717818640151	0.616	0.004	0	Amil-Amillepora10759	Amil
0	8.16440924812485	0.167	0.001	0	Amil-orphan-8155	Amil
0	8.09337863580865	0.152	0	0	Amil-Amillepora12611	Amil
0	8.09193425518038	0.149	0	0	Amil-orphan-7702	Amil
0	8.06966066036083	0.746	0.009	0	Amil-Amillepora14146	Amil
0	8.05359570786222	0.754	0.005	0	Amil-Amillepora10108	Amil
0	8.04792695347454	0.114	0	0	Amil-Amillepora22240	Amil
0	8.04463410253863	0.66	0.005	0	Amil-Amillepora13018	Amil
0	8.01402910726236	0.657	0.012	0	Amil-Amillepora12613	Amil
0	7.99076732152881	0.408	0.002	0	Amil-Amillepora16863	Amil
0	7.97666914331728	0.842	0.02	0	Amil-Amillepora12612	Amil
0	7.97126239303842	0.173	0	0	Amil-orphan-6560	Amil
0	7.94567559362244	0.624	0.003	0	Amil-Amillepora26802	Amil
0	7.91916994095839	0.308	0.001	0	Amil-Amillepora16860	Amil
0	7.90414714423992	0.455	0.002	0	Amil-Amillepora26543	Amil
0	7.86945053413555	0.674	0.004	0	Amil-Amillepora33951	Amil
0	7.86269171507546	0.169	0.001	0	Amil-Amillepora05918	Amil
0	7.85756195161687	0.665	0.004	0	Amil-Amillepora17943	Amil
0	7.80574838991211	0.564	0.003	0	Amil-Amillepora18750	Amil
0	7.70254706194643	0.266	0.001	0	Amil-Amillepora34513	Amil
0	7.69166009135142	0.54	0.003	0	Amil-orphan-13625	Amil
0	7.67659649633302	0.129	0.001	0	Amil-orphan-8186	Amil
0	7.65608655615517	0.131	0	0	Amil-orphan-1167	Amil
0	7.61380656647276	0.211	0.001	0	Amil-orphan-3845	Amil
0	7.59431858471492	0.177	0.001	0	Amil-orphan-6981	Amil
0	7.57600893304581	0.298	0.002	0	Amil-Amillepora25046	Amil
0	7.57419633896675	0.129	0.001	0	Amil-orphan-6498	Amil
0	7.51364405224249	0.206	0.001	0	Amil-orphan-3092	Amil
0	7.51346937938013	0.352	0.002	0	Amil-Amillepora16848	Amil
0	7.50497413126628	0.167	0.001	0	Amil-Amillepora10106	Amil
0	7.47408877601336	0.806	0.011	0	Amil-orphan-9647	Amil
0	7.42256155363711	0.41	0.002	0	Amil-Amillepora06543	Amil
0	7.40171297042897	0.554	0.003	0	Amil-Amillepora16857	Amil
0	7.39171848143937	0.514	0.005	0	Amil-Amillepora16791	Amil
0	7.38236797437078	0.249	0.001	0	Amil-Amillepora16862	Amil
0	7.37514095870278	0.132	0	0	Amil-Amillepora12366	Amil
0	7.32297281923945	0.239	0.001	0	Amil-orphan-8029	Amil
0	7.31575434176306	0.28	0.001	0	Amil-orphan-1542	Amil
0	7.22502077257417	0.106	0.001	0	Amil-orphan-5710	Amil
0	7.19909998631723	0.115	0	0	Amil-orphan-13622	Amil
0	7.18039160348767	0.972	0.051	0	Amil-Amillepora03541	Amil
0	7.17821493720545	0.707	0.007	0	Amil-Amillepora01381	Amil
0	7.14675307233266	0.873	0.023	0	Amil-Amillepora19488	Amil
0	7.13008086988397	0.316	0.002	0	Amil-Amillepora19769	Amil
0	7.0207244982193	0.426	0.003	0	Amil-Amillepora15317	Amil
0	6.99144191108439	0.127	0.001	0	Amil-orphan-10225	Amil
0	6.95932950485115	0.137	0.002	0	Amil-Amillepora06192	Amil
0	6.94674237664246	0.669	0.007	0	Amil-Amillepora27365	Amil
0	6.76362270440416	0.157	0.01	0	Amil-Amillepora02875	Amil
0	6.74115433050035	0.383	0.003	0	Amil-Amillepora07034	Amil
0	6.66742392679091	0.154	0.002	0	Amil-Amillepora08145	Amil
0	6.61273928844492	0.16	0.003	0	Amil-Amillepora15202	Amil
0	6.52116580215614	0.426	0.004	0	Amil-orphan-11178	Amil
0	6.44976803335796	0.105	0.001	0	Amil-Amillepora19290	Amil
0	6.43463871540308	0.381	0.004	0	Amil-Amillepora17013	Amil
0	6.40071770179217	0.697	0.008	0	Amil-Amillepora01399	Amil
0	6.37102406894623	0.227	0.004	0	Amil-Amillepora03346	Amil
0	6.35011830090897	0.541	0.006	0	Amil-Amillepora19079	Amil
0	6.32298553595317	0.233	0.002	0	Amil-Amillepora15355	Amil
0	6.31707718520326	0.939	0.373	0	Amil-Amillepora19494	Amil
0	6.30417455173821	0.221	0.002	0	Amil-Amillepora23236	Amil
0	6.29029276638317	0.252	0.003	0	Amil-Amillepora17015	Amil
0	6.25454164273409	0.347	0.005	0	Amil-Amillepora30425	Amil
0	6.24724437777729	0.122	0.001	0	Amil-orphan-5235	Amil
0	6.18971181933284	0.712	0.009	0	Amil-orphan-13556	Amil
0	6.1640052687875	0.192	0.002	0	Amil-Amillepora32177	Amil
0	6.12714273957804	0.347	0.004	0	Amil-Amillepora17012	Amil
0	6.11684758293447	0.113	0.001	0	Amil-Amillepora32170	Amil
0	6.04617323019883	0.401	0.003	0	Amil-orphan-13619	Amil
0	5.99634360211067	0.205	0.005	0	Amil-Amillepora07528	Amil
0	5.98126226274305	0.154	0.011	0	Amil-Amillepora02878	Amil
0	5.92942490541889	0.281	0.003	0	Amil-Amillepora33744	Amil
0	5.88598718682988	0.164	0.001	0	Amil-Amillepora22131	Amil
0	5.82295224357035	0.144	0.002	0	Amil-Amillepora24740	Amil
0	5.8026161228801	0.527	0.011	0	Amil-orphan-2643	Amil
0	5.78118134074512	0.273	0.004	0	Amil-Amillepora09721	Amil
0	5.73115441048425	0.37	0.009	0	Amil-Amillepora24268	Amil
0	5.7307313318195	0.216	0.003	0	Amil-orphan-3747	Amil
0	5.70258137236418	0.313	0.006	0	Amil-Amillepora07036	Amil
0	5.69346969129063	0.864	0.047	0	Amil-Amillepora37625	Amil
0	5.67559438323776	0.109	0.001	0	Amil-Amillepora19020	Amil
0	5.59914123530438	0.212	0.006	0	Amil-Amillepora05933	Amil
